"","question.1","question.4","question.0","question.8","question.5","question.9","question.6","question.3","question.7","question.2","comprehensionquestion.1.correct","comprehensionquestion.4.correct","comprehensionquestion.0.correct","comprehensionquestion.8.correct","comprehensionquestion.5.correct","comprehensionquestion.9.correct","comprehensionquestion.6.correct","comprehensionquestion.3.correct","comprehensionquestion.7.correct","comprehensionquestion.2.correct","temperature_scale","workerId_hash"
"49","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","False","True","True","True","True","True","True","True","True","Fahrenheit","e7720d66bb67f4996ddcd63b4f3c80e6a74f94de5c03d58999ab28cf42861d00"
"50","High tide","Higher","0°","Cumulus","Summer in the northern hemisphere","It decreases heat transfer from the body to the environment","Heat density","Land absorbs and stores more heat energy than oceans","Snowy weather","The amount of rain an area receives","False","False","False","False","False","False","False","False","False","False","Fahrenheit","045b3c2b65b911ceb1c8be22766ba625e56c6cfffaae55abdf0b019578331a61"
"51","Atmospheric pressure","Higher","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","False","True","False","False","True","Fahrenheit","d65f9a2ffff5f16d7f8404b856a759ca16843c3eb2de0c2739ff04a50d4e650c"
"53","Atmospheric pressure","Higher","32°","Stratus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","False","True","False","True","True","False","False","Fahrenheit","452137997c9bea942d64491e0d631318212a27ed2e377ecbbc18c0fafa11d11c"
"55","High tide","Lower","32°","Cumulus","Fall in the northern hemisphere","It decreases heat transfer from the body to the environment","Heat density","Land heats up and cools down quicker than oceans","Calm weather","The temperature of the air","False","True","True","False","False","False","False","True","True","False","Fahrenheit","5d39b189db7c39ea2c39333365529361cd41d652e05370096753e74711963f52"
"56","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","True","True","False","True","False","Fahrenheit","15c1a8283421a48d78a70a7d70a4b921621281d62a741143e571d8cbded4ad01"
"57","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","False","True","True","True","True","True","False","Fahrenheit","4f3304f7918d80e1dc29ddd541db9ca32033a6a5774dde5ee156e35f80dacb63"
"58","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","True","True","True","True","False","True","False","True","True","Fahrenheit","c2f85ed3003d76d1b45a34cd17035f6c296676913a9d0d71ee8519ad67ad0270"
"59","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","False","True","Fahrenheit","3109087ce6c5841e68015780575bdf5089bc80abf9122ac369275ca6f9a7f844"
"60","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","True","True","False","True","False","False","True","Fahrenheit","1b9e2a8e09dbfe72daabca1b6ae72e8e251adee218367d584187ba50f39261c2"
"61","Atmospheric pressure","Higher","32°","Stratus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","False","True","True","False","True","Fahrenheit","7c1206ea9a3c5e52c140c7c9943e4484cec4d6d731ae67d2d98c5a2babfa88e0"
"62","Atmospheric pressure","Higher","32°","Stratus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","False","True","False","False","True","Fahrenheit","8981fc7e1555802951d539a87d56ae627cc083e4e0632de4c282f7a8b83f0f59"
"63","Atmospheric pressure","Higher","32°","Cumulus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Condensation","Land absorbs and stores more heat energy than oceans","Snowy weather","The average weather over an extended period of time","True","False","True","False","True","False","False","False","False","True","Fahrenheit","98a9be6177762bd8faca15a4315cdccf1c2b845a81c496df91ceddbe82b48fbd"
"64","Atmospheric pressure","Higher","0°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Condensation","Oceans heat up and cool down quicker than land","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","False","False","True","True","False","False","False","False","Fahrenheit","9f0f7e2e73b1823cc9d8397137be6c2e374e93b061797c61514bf655305e84d8"
"65","Atmospheric pressure","Higher","32°","Cumulonimbus","Summer in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","True","False","True","True","True","False","True","Fahrenheit","e1925e8eccf3e044b84a17c591578abca6d14616eb04f3b558fa07d917b301b1"
"66","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","False","True","True","True","False","True","False","Fahrenheit","1ff602407d852da662abc4b849e437dbcd29dc98009289051c7a9a75d132e836"
"67","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","True","True","False","True","False","False","True","Fahrenheit","621d13c8b11f7aba527a803fa5374fea89b3f21d7b3b5904bba9c20e2bafe7b2"
"68","Atmospheric pressure","Higher","32°","Stratus","Spring in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Oceans and land heat up and cool down at the same speed","Calm weather","The average weather over an extended period of time","True","False","True","False","False","False","True","False","True","True","Fahrenheit","55661bfea6edbbeb5c0f2ae9dfbe051e7e8c4b112c2c33d2df834d00738f2be6"
"69","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Snowy weather","The temperature of the air","True","True","True","True","True","True","True","False","False","False","Fahrenheit","dba606de97913242288c32bbb8976fc1dee64ec213b351290590935fff3e35a8"
"70","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","False","True","True","False","False","Fahrenheit","18cf948c5e5140cfb4217b6cf839f43ac821f4c8fcb74e9770a58372074ca3e9"
"71","Rainfall","Higher","0°","Stratus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","False","False","False","False","True","False","True","True","False","False","Fahrenheit","907a8bc5164260d29b11ebfb6ce3e21a33f2728b224cb2c7829faf18540e6d6b"
"72","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The average weather over an extended period of time","True","True","True","False","True","True","True","False","True","True","Fahrenheit","00b2967fb040235e9a32de11076d3672dad29d006b004e71db3819ba1aa415e3"
"73","Temperature","Higher","32°","Cumulus","Winter in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Condensation","Oceans and land heat up and cool down at the same speed","Stormy weather","The temperature of the air","False","False","True","False","True","False","False","False","False","False","Fahrenheit","7987a6964695713f10c5836d95ca368df46bc256c76380e3d6f60fe6899e7df7"
"74","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans and land heat up and cool down at the same speed","Stormy weather","The average weather over an extended period of time","True","False","True","True","True","True","True","False","False","True","Celsius","bf6dc1b1edc8ee4d56324a3baf824e3154e5ea474bed44f3266bb0e204a5202f"
"75","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The average weather over an extended period of time","True","True","True","False","True","True","True","False","True","True","Fahrenheit","ad0352dbf227d2b4a9e317bd919aa40ce3b50f0763dc7261bbcc9a356099e908"
"76","Atmospheric pressure","Higher","32°","Cumulus","Spring in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The average weather over an extended period of time","True","False","True","False","False","True","True","False","False","True","Fahrenheit","205afffc8218994b621414db7e702672a5e40c2cc952f9f2420f6b86feaf823d"
"77","Atmospheric pressure","Higher","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","True","True","True","False","True","Fahrenheit","e32effa323e3ea3c442f3a156d62bcf003065b6a2939e5d1a820c7bec1e02589"
"78","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","False","True","False","True","True","True","True","Fahrenheit","1fedb837e18313b8c243760363af1429bc3ab5b33302813e7178eda6785f80f6"
"79","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit","d36a9a88c733f343db80e3045e37b4d07de97ddf43a39c1cabe402b0429f5b52"
"81","Atmospheric pressure","Higher","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Snowy weather","The average weather over an extended period of time","True","False","True","False","True","True","True","False","False","True","Fahrenheit","e3a806466cf0ed3979e49e88ab4868330846b55478acd60640a97b0e020db5e8"
"82","Atmospheric pressure","Lower","34°","Cirrus","Fall in the northern hemisphere","It increases heat transfer from the environment to the body","Condensation","Land heats up and cools down quicker than oceans","Stormy weather","The amount of rain an area receives","True","True","False","False","False","False","False","True","False","False","Fahrenheit","e3f878655be977528ea7dd8085c9f323659e0734b88e5428eccded29ce592608"
"83","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","True","True","True","True","False","Fahrenheit","a865869d903761bde3aab3e9bd4f0e0f76939434744f7f81738c72c495b7ff62"
"84","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The average weather over an extended period of time","True","True","True","False","True","True","True","False","True","True","Fahrenheit","881eff10ace67a35efaec811964589ae96c0f7444395bd4aee593e036462847d"
"85","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","False","True","True","Fahrenheit","7421555e56e31195ae36b27c6f30c560a66f69e772e2242cdb5bcae722192b99"
"86","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit","5bed9e14b50b7f15ac130e9d6fcec59c2237a59335627b8645347e4e3148cbf9"
"87","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","True","True","False","True","False","False","False","Fahrenheit","3a9a9b8718058049b72793028156ebb9401499aa51523999c17db159c3ad3e8b"
"88","Temperature","Lower","0°","Stratus","Summer in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Oceans and land heat up and cool down at the same speed","Calm weather","The temperature of the air","False","True","False","False","False","False","True","False","True","False","Fahrenheit","691ab1531aa97ce552109631470f75350ccf63b9ee0631e368ea572781ce8329"
"89","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Oceans and land heat up and cool down at the same speed","Calm weather","The average weather over an extended period of time","True","False","True","True","True","False","True","False","True","True","Fahrenheit","63a574380da77b3608d07564d9e93078b0e3491874fdbd960f637610a42dc417"
"90","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","True","True","False","True","False","False","False","Fahrenheit","789ae20b3649b7179303b71d6fec83913cc3d817cd679edefd32a4075159ddc8"
"91","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","True","True","True","True","True","False","False","Fahrenheit","10460ded672335d165204ec8839cbde476cf9f89a33e9ec2f9bfd2342766b4fa"
"92","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","True","True","False","True","True","True","False","True","True","Fahrenheit","03df87db5eef526be7ada322afe58d4927426f682604713d94aa5380f5524555"
"93","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Condensation","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","False","True","True","True","Fahrenheit","8b2ade9fc2cca12d27fc2fa9929b00a7d4c39753310a9aa853bbb8ebf7d045ca"
"94","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Oceans and land heat up and cool down at the same speed","Calm weather","The average weather over an extended period of time","True","False","True","True","True","False","True","False","True","True","Fahrenheit","e4c812dd2eda71dce934cf499f229bb2679ec7616176d870c2c4df1b1bf4129f"
